2019-04-08 11:26:00.0897 | Query No. 6  | Contact info | Read Time: 00:00:00.1850366 | Write Time: 00:00:00.0727523
2019-04-08 11:26:00.3142 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.0997760 | Write Time: 00:00:00.1033403
2019-04-08 11:26:00.5734 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1574714 | Write Time: 00:00:00.0959815
2019-04-08 11:26:00.7231 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0838178 | Write Time: 00:00:00.0587149
2019-04-08 11:26:06.3581 | Query No. 10 | Sample info  | Read Time: 00:00:05.6330878 | Write Time: 00:00:00.0587149
2019-04-08 11:26:07.9433 | Query No. 11 | FM1T011      | Read Time: 00:00:00.9931099 | Write Time: 00:00:00.5895286
2019-04-08 11:26:14.8977 | Query No. 13 | T27AggGrad   | Read Time: 00:00:04.5079940 | Write Time: 00:00:02.4416783
2019-04-08 11:26:15.1201 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:00.1305656 | Write Time: 00:00:00.0872431
2019-04-08 11:26:21.0444 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:05.8158997 | Write Time: 00:00:00.1047299
2019-04-08 11:26:22.2136 | Query No. 21 | FM1T096      | Read Time: 00:00:01.0678403 | Write Time: 00:00:00.0977130
2019-04-08 13:13:32.8905 | Query No. 6  | Contact info | Read Time: 00:00:00.1685320 | Write Time: 00:00:00.0558884
2019-04-08 13:13:33.1200 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.0664519 | Write Time: 00:00:00.1428176
2019-04-08 13:13:33.3416 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1404333 | Write Time: 00:00:00.0766752
2019-04-08 13:13:33.4978 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0874841 | Write Time: 00:00:00.0674294
2019-04-08 13:13:38.2668 | Query No. 10 | Sample info  | Read Time: 00:00:04.7662368 | Write Time: 00:00:00.0674294
2019-04-08 13:13:39.1489 | Query No. 11 | FM1T011      | Read Time: 00:00:00.8024241 | Write Time: 00:00:00.0755070
2019-04-08 13:13:43.6853 | Query No. 13 | T27AggGrad   | Read Time: 00:00:04.3907435 | Write Time: 00:00:00.1432052
2019-04-08 13:13:43.8675 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:00.1228429 | Write Time: 00:00:00.0549043
2019-04-08 13:13:48.1815 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:04.2548289 | Write Time: 00:00:00.0560753
2019-04-08 13:13:49.3014 | Query No. 21 | FM1T096      | Read Time: 00:00:01.0595802 | Write Time: 00:00:00.0556109
2019-04-08 15:20:25.4619 | Query No. 6  | Contact info | Read Time: 00:00:00.1587783 | Write Time: 00:00:00.0693537
2019-04-08 15:20:25.6718 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.0702672 | Write Time: 00:00:00.1170940
2019-04-08 15:20:25.9418 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1482624 | Write Time: 00:00:00.1163338
2019-04-08 15:20:26.1076 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0884551 | Write Time: 00:00:00.0736054
2019-04-08 15:20:35.0506 | Query No. 10 | Sample info  | Read Time: 00:00:08.9379515 | Write Time: 00:00:00.0736054
2019-04-08 15:20:36.7402 | Query No. 11 | FM1T011      | Read Time: 00:00:00.8786446 | Write Time: 00:00:00.8081149
2019-04-08 15:20:41.6125 | Query No. 13 | T27AggGrad   | Read Time: 00:00:04.6715537 | Write Time: 00:00:00.1964589
2019-04-08 15:20:44.6257 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:02.9506875 | Write Time: 00:00:00.0595432
2019-04-08 15:20:55.3951 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:10.7027461 | Write Time: 00:00:00.0610034
2019-04-08 15:20:58.9451 | Query No. 21 | FM1T096      | Read Time: 00:00:03.4870545 | Write Time: 00:00:00.0606737
2019-04-08 15:26:24.6304 | Query No. 6  | Contact info | Read Time: 00:00:00.1579103 | Write Time: 00:00:00.0565356
2019-04-08 15:26:24.8217 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.0671672 | Write Time: 00:00:00.1067485
